name,start_time,finish_time,duration,current_host,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_host,compromise_users,interrupted_in,interrupted_by
SCAN_HOST,0.0,5.0,5.0,-1,0,0,0,,[],,
ENUM_HOST,5.0,7.0,2.0,-1,0,0,0,,[],,
SCAN_PORT,7.0,17.0,10.0,0,1,0,0,,[],,
EXPLOIT_VULN,17.0,37.70315495416759,20.703154954167587,0,1,0,0,,[],,
BRUTE_FORCE,37.70315495416759,57.70315495416759,20.0,0,1,18,0,,[],,
ENUM_HOST,57.70315495416759,59.70315495416759,2.0,0,1,18,0,,[],,
SCAN_PORT,59.70315495416759,69.70315495416759,10.0,1,1,18,0,,[],,
EXPLOIT_VULN,69.70315495416759,90.85815597547271,21.155001021305125,1,1,18,0,,[],,
BRUTE_FORCE,90.85815597547271,91.90202706638519,1.043871090912475,1,1,26,0,,[],application,osdiversity
SCAN_PORT,93.90202706638519,103.90202706638519,10.0,1,1,26,0,,[],,
EXPLOIT_VULN,103.90202706638519,125.4852914034792,21.583264337094008,1,1,26,0,,[],,
BRUTE_FORCE,125.4852914034792,145.4852914034792,20.000000000000014,1,1,31,0,,[],,
ENUM_HOST,145.4852914034792,147.4852914034792,2.0,1,1,31,0,,[],,
SCAN_PORT,147.4852914034792,157.4852914034792,10.0,2,1,31,0,,[],,
EXPLOIT_VULN,157.4852914034792,161.825983862219,4.340692458739795,2,1,31,0,,[],network,CompleteTopologyShuffle
SCAN_HOST,163.825983862219,168.825983862219,5.0,-1,0,31,0,,[],,
ENUM_HOST,168.825983862219,170.825983862219,2.0,-1,0,31,0,,[],,
SCAN_PORT,170.825983862219,180.825983862219,10.0,0,2,31,0,,[],,
EXPLOIT_VULN,180.825983862219,201.5654086502225,20.739424788003504,0,2,31,0,,[],,
BRUTE_FORCE,201.5654086502225,221.5654086502225,20.0,0,2,39,0,,[],,
ENUM_HOST,221.5654086502225,223.5654086502225,2.0,0,2,39,0,,[],,
SCAN_PORT,223.5654086502225,233.3444984279616,9.779089777739102,1,2,39,0,,[],network,IPShuffle
SCAN_HOST,235.3444984279616,240.3444984279616,5.0,-1,0,39,0,,[],,
ENUM_HOST,240.3444984279616,242.3444984279616,2.0,-1,0,39,0,,[],,
SCAN_PORT,242.3444984279616,243.44613098036885,1.1016325524072386,0,3,39,0,,[],application,osdiversity
SCAN_PORT,245.44613098036885,255.44613098036885,10.0,0,3,39,0,,[],,
