name,start_time,finish_time,duration,current_host,current_host_uuid,compromise_host,compromise_host_uuid,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_users,interrupted_in,interrupted_by
SCAN_HOST,0.0,10.0,10.0,-1,-1,None,None,0,0,0,[],None,None
ENUM_HOST,10.0,25.0,15.0,-1,-1,None,None,0,0,0,[],None,None
SCAN_PORT,25.0,45.0,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,1,0,0,[],None,None
EXPLOIT_VULN,45.0,66.25379659778133,21.25379659778133,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,1,0,0,[],application,OSDiversity
SCAN_PORT,68.25379659778133,88.25379659778133,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,1,0,0,[],None,None
EXPLOIT_VULN,88.25379659778133,113.45680833594389,25.20301173816256,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,1,0,0,[],None,None
BRUTE_FORCE,113.45680833594389,123.69559878335518,10.23879044741129,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,1,29,0,[],application,PortShuffle
SCAN_PORT,125.69559878335518,145.6955987833552,20.000000000000014,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,1,29,0,[],None,None
EXPLOIT_VULN,145.6955987833552,163.9209035881621,18.22530480480691,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,1,29,0,[],network,IPShuffle
SCAN_HOST,165.9209035881621,175.9209035881621,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,175.9209035881621,190.9209035881621,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,190.9209035881621,193.7758634688803,2.8549598807181837,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,2,29,0,[],application,ServiceDiversity
SCAN_PORT,195.7758634688803,215.7758634688803,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,2,29,0,[],None,None
EXPLOIT_VULN,215.7758634688803,229.75250979529338,13.97664632641309,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,2,29,0,[],network,HostTopologyShuffle
SCAN_HOST,231.75250979529338,241.75250979529338,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,241.75250979529338,256.75250979529335,14.999999999999972,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,256.75250979529335,276.75250979529335,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,3,29,0,[],None,None
EXPLOIT_VULN,276.75250979529335,287.30391264453937,10.551402849246017,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,3,29,0,[],network,IPShuffle
SCAN_HOST,289.30391264453937,299.30391264453937,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,299.30391264453937,314.30391264453937,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,314.30391264453937,334.30391264453937,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,4,29,0,[],None,None
EXPLOIT_VULN,334.30391264453937,357.4003669194363,23.096454274896928,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,4,29,0,[],network,CompleteTopologyShuffle
SCAN_HOST,359.4003669194363,369.4003669194363,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,369.4003669194363,384.4003669194363,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,384.4003669194363,404.4003669194363,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,5,29,0,[],None,None
EXPLOIT_VULN,404.4003669194363,419.28880529833856,14.888438378902265,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,5,29,0,[],network,CompleteTopologyShuffle
SCAN_HOST,421.28880529833856,431.28880529833856,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,431.28880529833856,446.28880529833856,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,446.28880529833856,466.28880529833856,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,6,29,0,[],None,None
EXPLOIT_VULN,466.28880529833856,468.94917121483786,2.660365916499302,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,6,29,0,[],network,IPShuffle
SCAN_HOST,470.94917121483786,480.94917121483786,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,480.94917121483786,495.94917121483786,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,495.94917121483786,515.9491712148379,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,7,29,0,[],None,None
EXPLOIT_VULN,515.9491712148379,530.4524811576013,14.503309942763394,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,7,29,0,[],network,IPShuffle
SCAN_HOST,532.4524811576013,542.4524811576013,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,542.4524811576013,557.4524811576013,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,557.4524811576013,577.4524811576013,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,8,29,0,[],None,None
EXPLOIT_VULN,577.4524811576013,590.1987810151021,12.746299857500844,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,8,29,0,[],network,IPShuffle
SCAN_HOST,592.1987810151021,602.1987810151021,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,602.1987810151021,617.1987810151021,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,617.1987810151021,637.1987810151021,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,9,29,0,[],None,None
EXPLOIT_VULN,637.1987810151021,655.9004810127408,18.701699997638684,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,9,29,0,[],network,HostTopologyShuffle
SCAN_HOST,657.9004810127408,667.9004810127408,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,667.9004810127408,682.9004810127408,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,682.9004810127408,702.9004810127408,20.0,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,10,29,0,[],None,None
EXPLOIT_VULN,702.9004810127408,717.3663357568394,14.465854744098579,0,26a1d969-59ce-43ac-b53b-c83dde31ee40,None,None,10,29,0,[],network,HostTopologyShuffle
SCAN_HOST,719.3663357568394,729.3663357568394,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,729.3663357568394,744.3663357568394,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,744.3663357568394,764.3663357568394,20.0,1,0d1318b2-4300-4c7f-9c50-b7aab616e544,None,None,1,29,0,[],None,None
EXPLOIT_VULN,764.3663357568394,772.0821463117071,7.715810554867744,1,0d1318b2-4300-4c7f-9c50-b7aab616e544,None,None,1,29,0,[],network,IPShuffle
SCAN_HOST,774.0821463117071,784.0821463117071,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,784.0821463117071,799.0821463117071,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,799.0821463117071,819.0821463117071,20.0,1,0d1318b2-4300-4c7f-9c50-b7aab616e544,None,None,2,29,0,[],None,None
EXPLOIT_VULN,819.0821463117071,839.2370247735757,20.154878461868634,1,0d1318b2-4300-4c7f-9c50-b7aab616e544,None,None,2,29,0,[],network,HostTopologyShuffle
SCAN_HOST,841.2370247735757,851.2370247735757,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,851.2370247735757,866.2370247735757,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,866.2370247735757,886.2370247735757,20.0,1,0d1318b2-4300-4c7f-9c50-b7aab616e544,None,None,3,29,0,[],None,None
EXPLOIT_VULN,886.2370247735757,893.2386264897572,7.001601716181426,1,0d1318b2-4300-4c7f-9c50-b7aab616e544,None,None,3,29,0,[],network,IPShuffle
SCAN_HOST,895.2386264897572,905.2386264897572,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,905.2386264897572,920.2386264897572,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,920.2386264897572,940.2386264897572,20.0,1,0d1318b2-4300-4c7f-9c50-b7aab616e544,None,None,4,29,0,[],None,None
EXPLOIT_VULN,940.2386264897572,963.8426807153014,23.604054225544246,1,0d1318b2-4300-4c7f-9c50-b7aab616e544,None,None,4,29,0,[],network,CompleteTopologyShuffle
SCAN_HOST,965.8426807153014,975.8426807153014,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,975.8426807153014,990.8426807153014,15.0,-1,-1,None,None,0,29,0,[],None,None
SCAN_PORT,990.8426807153014,1010.8426807153014,20.0,1,0d1318b2-4300-4c7f-9c50-b7aab616e544,None,None,5,29,0,[],None,None
EXPLOIT_VULN,1010.8426807153014,1015.4228410324201,4.580160317118725,1,0d1318b2-4300-4c7f-9c50-b7aab616e544,None,None,5,29,0,[],network,IPShuffle
SCAN_HOST,1017.4228410324201,1027.4228410324201,10.0,-1,-1,None,None,0,29,0,[],None,None
ENUM_HOST,1027.4228410324201,1042.4228410324201,15.0,-1,-1,None,None,0,29,0,[],None,None
