name,start_time,finish_time,duration,current_host,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_host,compromise_users,interrupted_in,interrupted_by
SCAN_HOST,0.0,10.0,10.0,-1,0,0,0,None,[],None,None
ENUM_HOST,10.0,25.0,15.0,-1,0,0,0,None,[],None,None
SCAN_PORT,25.0,35.02848659675514,10.028486596755137,0,1,0,0,None,[],application,PortShuffle
SCAN_PORT,37.02848659675514,57.02848659675514,20.0,0,1,0,0,None,[],None,None
EXPLOIT_VULN,57.02848659675514,82.9937977903415,25.965311193586366,0,1,0,0,None,[],None,None
BRUTE_FORCE,82.9937977903415,90.90539532506091,7.911597534719405,0,1,40,0,None,[],network,HostTopologyShuffle
SCAN_HOST,92.90539532506091,102.90539532506091,10.0,-1,0,40,0,None,[],None,None
ENUM_HOST,102.90539532506091,117.90539532506091,15.0,-1,0,40,0,None,[],None,None
SCAN_PORT,117.90539532506091,137.9053953250609,20.0,0,2,40,0,None,[],None,None
EXPLOIT_VULN,137.9053953250609,141.97699710531145,4.071601780250546,0,2,40,0,None,[],network,IPShuffle
SCAN_HOST,143.97699710531145,153.97699710531145,10.0,-1,0,40,0,None,[],None,None
ENUM_HOST,153.97699710531145,168.97699710531145,15.0,-1,0,40,0,None,[],None,None
SCAN_PORT,168.97699710531145,188.97699710531145,20.0,0,3,40,0,None,[],None,None
EXPLOIT_VULN,188.97699710531145,212.73299779055327,23.756000685241816,0,3,40,0,None,[],network,HostTopologyShuffle
SCAN_HOST,214.73299779055327,224.73299779055327,10.0,-1,0,40,0,None,[],None,None
ENUM_HOST,224.73299779055327,239.73299779055327,15.0,-1,0,40,0,None,[],None,None
SCAN_PORT,239.73299779055327,259.73299779055327,20.0,0,4,40,0,None,[],None,None
EXPLOIT_VULN,259.73299779055327,284.89038736717197,25.157389576618698,0,4,40,0,0,"['Riane', 'Maurene', 'Tobye', 'Mercedes', 'Roselle']",None,None
SCAN_NEIGHBOR,284.89038736717197,294.89038736717197,10.0,0,4,85,1,None,[],None,None
ENUM_HOST,294.89038736717197,309.89038736717197,15.0,0,4,85,1,None,[],None,None
SCAN_PORT,309.89038736717197,312.7540312870466,2.863643919874619,37,1,85,1,None,[],network,CompleteTopologyShuffle
SCAN_HOST,314.7540312870466,324.7540312870466,10.0,-1,0,85,1,None,[],None,None
ENUM_HOST,324.7540312870466,339.7540312870466,15.0,-1,0,85,1,None,[],None,None
SCAN_PORT,339.7540312870466,359.7540312870466,20.0,49,1,85,1,None,[],None,None
EXPLOIT_VULN,359.7540312870466,386.71155544489596,26.957524157849377,49,1,85,1,49,"['Calley', 'Yolanthe', 'Judi', 'Neille', 'Doria']",None,None
SCAN_NEIGHBOR,386.71155544489596,396.71155544489596,10.0,49,1,120,2,None,[],None,None
ENUM_HOST,396.71155544489596,404.94547270745346,8.233917262557497,49,1,120,2,None,[],network,CompleteTopologyShuffle
SCAN_HOST,406.94547270745346,416.94547270745346,10.0,-1,0,120,2,None,[],None,None
ENUM_HOST,416.94547270745346,431.94547270745346,15.0,-1,0,120,2,None,[],None,None
SCAN_PORT,431.94547270745346,451.94547270745346,20.0,55,1,120,2,None,[],None,None
EXPLOIT_VULN,451.94547270745346,476.48276850477373,24.53729579732027,55,1,120,2,None,[],network,IPShuffle
SCAN_HOST,478.48276850477373,488.48276850477373,10.0,-1,0,120,2,None,[],None,None
ENUM_HOST,488.48276850477373,503.48276850477373,15.0,-1,0,120,2,None,[],None,None
SCAN_PORT,503.48276850477373,523.4827685047737,20.0,55,2,120,2,None,[],None,None
EXPLOIT_VULN,523.4827685047737,536.6756780714429,13.192909566669186,55,2,120,2,None,[],network,IPShuffle
SCAN_HOST,538.6756780714429,548.6756780714429,10.0,-1,0,120,2,None,[],None,None
ENUM_HOST,548.6756780714429,563.6756780714429,15.0,-1,0,120,2,None,[],None,None
SCAN_PORT,563.6756780714429,583.6756780714429,20.0,47,1,120,2,None,[],None,None
EXPLOIT_VULN,583.6756780714429,597.2378458553678,13.562167783924906,47,1,120,2,None,[],network,IPShuffle
SCAN_HOST,599.2378458553678,609.2378458553678,10.0,-1,0,120,2,None,[],None,None
ENUM_HOST,609.2378458553678,624.2378458553678,15.0,-1,0,120,2,None,[],None,None
SCAN_PORT,624.2378458553678,644.2378458553678,20.0,47,2,120,2,None,[],None,None
EXPLOIT_VULN,644.2378458553678,669.4625688980556,25.224723042687742,47,2,120,2,47,"['Marney', 'Terri', 'Pam', 'Norina', 'Susie']",None,None
SCAN_NEIGHBOR,669.4625688980556,669.5097152992646,0.047146401209033684,47,2,149,3,None,[],network,HostTopologyShuffle
SCAN_HOST,671.5097152992646,681.5097152992646,10.0,-1,0,149,3,None,[],None,None
ENUM_HOST,681.5097152992646,696.5097152992646,15.0,-1,0,149,3,None,[],None,None
SCAN_PORT,696.5097152992646,716.5097152992646,20.0,55,3,149,3,None,[],None,None
EXPLOIT_VULN,716.5097152992646,740.0416643118931,23.531949012628502,55,3,149,3,None,[],network,CompleteTopologyShuffle
SCAN_HOST,742.0416643118931,752.0416643118931,10.0,-1,0,149,3,None,[],None,None
ENUM_HOST,752.0416643118931,767.0416643118931,15.0,-1,0,149,3,None,[],None,None
SCAN_PORT,767.0416643118931,787.0416643118931,20.0,66,1,149,3,None,[],None,None
EXPLOIT_VULN,787.0416643118931,813.5759775116019,26.534313199708777,66,1,149,3,66,"['Bellanca', 'Cammie', 'Clio', 'Orelia']",None,None
SCAN_NEIGHBOR,813.5759775116019,823.5759775116019,10.0,66,1,179,4,None,[],None,None
ENUM_HOST,823.5759775116019,831.8982975787557,8.322320067153782,66,1,179,4,None,[],network,CompleteTopologyShuffle
SCAN_HOST,833.8982975787557,843.8982975787557,10.0,-1,0,179,4,None,[],None,None
ENUM_HOST,843.8982975787557,858.8982975787557,15.0,-1,0,179,4,None,[],None,None
SCAN_PORT,858.8982975787557,878.8982975787557,20.0,22,1,179,4,None,[],None,None
EXPLOIT_VULN,878.8982975787557,887.7361206629495,8.837823084193815,22,1,179,4,None,[],application,PortShuffle
SCAN_PORT,889.7361206629495,909.7361206629495,20.0,22,1,179,4,None,[],None,None
EXPLOIT_VULN,909.7361206629495,933.5262028864433,23.79008222349387,22,1,179,4,None,[],network,IPShuffle
SCAN_HOST,935.5262028864433,945.5262028864433,10.0,-1,0,179,4,None,[],None,None
ENUM_HOST,945.5262028864433,960.5262028864433,15.0,-1,0,179,4,None,[],None,None
SCAN_PORT,960.5262028864433,980.5262028864433,20.0,22,2,179,4,None,[],None,None
EXPLOIT_VULN,980.5262028864433,1008.4045405483896,27.87833766194626,22,2,179,4,None,[],None,None
BRUTE_FORCE,1008.4045405483896,1012.8762532444434,4.471712696053828,22,2,186,4,None,[],network,CompleteTopologyShuffle
SCAN_HOST,1014.8762532444434,1024.8762532444434,10.0,-1,0,186,4,None,[],None,None
ENUM_HOST,1024.8762532444434,1039.8762532444434,15.0,-1,0,186,4,None,[],None,None
SCAN_PORT,1039.8762532444434,1059.8762532444434,20.0,25,1,186,4,None,[],None,None
EXPLOIT_VULN,1059.8762532444434,1085.0425111808672,25.16625793642379,25,1,186,4,25,"['Leodora', 'Glynda', 'Constanta', 'Tammi', 'Vallie']",None,None
SCAN_NEIGHBOR,1085.0425111808672,1093.8127760299951,8.770264849127898,25,1,195,5,None,[],network,HostTopologyShuffle
SCAN_HOST,1095.8127760299951,1105.8127760299951,10.0,-1,0,195,5,None,[],None,None
ENUM_HOST,1105.8127760299951,1120.8127760299951,15.0,-1,0,195,5,None,[],None,None
SCAN_PORT,1120.8127760299951,1140.8127760299951,20.0,45,1,195,5,None,[],None,None
EXPLOIT_VULN,1140.8127760299951,1165.3214391551599,24.50866312516473,45,1,195,5,None,[],network,CompleteTopologyShuffle
SCAN_HOST,1167.3214391551599,1177.3214391551599,10.0,-1,0,195,5,None,[],None,None
ENUM_HOST,1177.3214391551599,1192.3214391551599,15.0,-1,0,195,5,None,[],None,None
SCAN_PORT,1192.3214391551599,1212.3214391551599,20.0,32,1,195,5,None,[],None,None
EXPLOIT_VULN,1212.3214391551599,1237.7734301814885,25.451991026328642,32,1,195,5,None,[],None,None
BRUTE_FORCE,1237.7734301814885,1245.5149284378783,7.741498256389832,32,1,201,5,None,[],network,HostTopologyShuffle
SCAN_HOST,1247.5149284378783,1257.5149284378783,10.0,-1,0,201,5,None,[],None,None
ENUM_HOST,1257.5149284378783,1272.5149284378783,15.0,-1,0,201,5,None,[],None,None
SCAN_PORT,1272.5149284378783,1292.5149284378783,20.0,28,1,201,5,None,[],None,None
EXPLOIT_VULN,1292.5149284378783,1316.501358967089,23.986430529210566,28,1,201,5,None,[],network,CompleteTopologyShuffle
SCAN_HOST,1318.501358967089,1328.501358967089,10.0,-1,0,201,5,None,[],None,None
ENUM_HOST,1328.501358967089,1343.501358967089,15.0,-1,0,201,5,None,[],None,None
SCAN_PORT,1343.501358967089,1363.501358967089,20.0,62,1,201,5,None,[],None,None
EXPLOIT_VULN,1363.501358967089,1389.4948203076485,25.993461340559634,62,1,201,5,62,"['Julianne', 'Terrye', 'Bernadine', 'Misti']",None,None
SCAN_NEIGHBOR,1389.4948203076485,1399.4948203076485,10.0,62,1,222,6,None,[],None,None
ENUM_HOST,1399.4948203076485,1407.753645572335,8.258825264686493,62,1,222,6,None,[],network,CompleteTopologyShuffle
SCAN_HOST,1409.753645572335,1419.753645572335,10.0,-1,0,222,6,None,[],None,None
ENUM_HOST,1419.753645572335,1434.753645572335,15.0,-1,0,222,6,None,[],None,None
SCAN_PORT,1434.753645572335,1454.753645572335,20.0,70,1,222,6,None,[],None,None
EXPLOIT_VULN,1454.753645572335,1482.9281109698609,28.174465397525864,70,1,222,6,70,"['Gerry', 'Dianna', 'Cecilla', 'Lainey']",None,None
SCAN_NEIGHBOR,1482.9281109698609,1492.9281109698609,10.0,70,1,252,7,None,[],None,None
ENUM_HOST,1492.9281109698609,1499.0226056252516,6.09449465539069,70,1,252,7,None,[],network,CompleteTopologyShuffle
SCAN_HOST,1501.0226056252516,1511.0226056252516,10.0,-1,0,252,7,None,[],None,None
ENUM_HOST,1511.0226056252516,1526.0226056252516,15.0,-1,0,252,7,None,[],None,None
SCAN_PORT,1526.0226056252516,1546.0226056252516,20.0,51,1,252,7,None,[],None,None
EXPLOIT_VULN,1546.0226056252516,1572.6348927905851,26.612287165333555,51,1,252,7,51,"['Caitrin', 'Marline']",None,None
SCAN_NEIGHBOR,1572.6348927905851,1579.2852471997799,6.650354409194733,51,1,284,8,None,[],network,HostTopologyShuffle
SCAN_HOST,1581.2852471997799,1591.2852471997799,10.0,-1,0,284,8,None,[],None,None
ENUM_HOST,1591.2852471997799,1606.2852471997799,15.0,-1,0,284,8,None,[],None,None
SCAN_PORT,1606.2852471997799,1626.2852471997799,20.0,51,2,284,8,None,[],None,None
EXPLOIT_VULN,1626.2852471997799,1643.8821193236095,17.5968721238296,51,2,284,8,None,[],network,HostTopologyShuffle
SCAN_HOST,1645.8821193236095,1655.8821193236095,10.0,-1,0,284,8,None,[],None,None
ENUM_HOST,1655.8821193236095,1670.8821193236095,15.0,-1,0,284,8,None,[],None,None
SCAN_PORT,1670.8821193236095,1690.8821193236095,20.0,62,2,284,8,None,[],None,None
EXPLOIT_VULN,1690.8821193236095,1716.0720690421263,25.1899497185168,62,2,284,8,62,"['Katrinka', 'Nadia', 'Stesha', 'Berrie']",None,None
SCAN_NEIGHBOR,1716.0720690421263,1724.2542394013346,8.182170359208385,62,2,322,9,None,[],network,IPShuffle
SCAN_HOST,1726.2542394013346,1736.2542394013346,10.0,-1,0,322,9,None,[],None,None
ENUM_HOST,1736.2542394013346,1751.2542394013346,15.0,-1,0,322,9,None,[],None,None
SCAN_PORT,1751.2542394013346,1771.2542394013346,20.0,35,1,322,9,None,[],None,None
EXPLOIT_VULN,1771.2542394013346,1794.6256123373964,23.37137293606179,35,1,322,9,None,[],network,HostTopologyShuffle
SCAN_HOST,1796.6256123373964,1806.6256123373964,10.0,-1,0,322,9,None,[],None,None
ENUM_HOST,1806.6256123373964,1821.6256123373964,15.0,-1,0,322,9,None,[],None,None
SCAN_PORT,1821.6256123373964,1841.6256123373964,20.0,63,1,322,9,None,[],None,None
EXPLOIT_VULN,1841.6256123373964,1855.289569619642,13.66395728224552,63,1,322,9,None,[],network,HostTopologyShuffle
SCAN_HOST,1857.289569619642,1867.289569619642,10.0,-1,0,322,9,None,[],None,None
ENUM_HOST,1867.289569619642,1882.289569619642,15.0,-1,0,322,9,None,[],None,None
SCAN_PORT,1882.289569619642,1902.289569619642,20.0,30,1,322,9,None,[],None,None
EXPLOIT_VULN,1902.289569619642,1921.3841552570793,19.094585637437376,30,1,322,9,None,[],application,PortShuffle
SCAN_PORT,1923.3841552570793,1925.4790958751187,2.0949406180393453,30,1,322,9,None,[],network,CompleteTopologyShuffle
SCAN_HOST,1927.4790958751187,1937.4790958751187,10.0,-1,0,322,9,None,[],None,None
ENUM_HOST,1937.4790958751187,1952.4790958751187,15.0,-1,0,322,9,None,[],None,None
SCAN_PORT,1952.4790958751187,1972.4790958751187,20.0,65,1,322,9,None,[],None,None
EXPLOIT_VULN,1972.4790958751187,1998.9682032296998,26.489107354581165,65,1,322,9,65,"['Portia', 'Frayda', 'Gae', 'Ediva']",None,None
SCAN_NEIGHBOR,1998.9682032296998,2008.9682032296998,10.0,65,1,326,10,None,[],None,None
ENUM_HOST,2008.9682032296998,2017.2572775757774,8.289074346077541,65,1,326,10,None,[],network,CompleteTopologyShuffle
SCAN_HOST,2019.2572775757774,2029.2572775757774,10.0,-1,0,326,10,None,[],None,None
ENUM_HOST,2029.2572775757774,2044.2572775757774,15.0,-1,0,326,10,None,[],None,None
SCAN_PORT,2044.2572775757774,2064.257277575777,19.999999999999773,64,1,326,10,None,[],None,None
EXPLOIT_VULN,2064.257277575777,2088.2302748462475,23.972997270470387,64,1,326,10,None,[],network,IPShuffle
SCAN_HOST,2090.2302748462475,2100.2302748462475,10.0,-1,0,326,10,None,[],None,None
ENUM_HOST,2100.2302748462475,2115.2302748462475,15.0,-1,0,326,10,None,[],None,None
SCAN_PORT,2115.2302748462475,2135.2302748462475,20.0,54,1,326,10,None,[],None,None
EXPLOIT_VULN,2135.2302748462475,2161.7137368244935,26.48346197824594,54,1,326,10,54,"['Candace', 'Analise', 'Dorolice', 'Carol', 'Lynnett']",None,None
SCAN_NEIGHBOR,2161.7137368244935,2169.227671600167,7.513934775673533,54,1,367,11,None,[],network,CompleteTopologyShuffle
SCAN_HOST,2171.227671600167,2181.227671600167,10.0,-1,0,367,11,None,[],None,None
ENUM_HOST,2181.227671600167,2196.227671600167,15.0,-1,0,367,11,None,[],None,None
SCAN_PORT,2196.227671600167,2216.227671600167,20.0,42,1,367,11,None,[],None,None
EXPLOIT_VULN,2216.227671600167,2241.7012914615298,25.47361986136275,42,1,367,11,42,"['Emalia', 'Judy', 'Deanna', 'Angela']",None,None
SCAN_NEIGHBOR,2241.7012914615298,2251.7012914615298,10.0,42,1,408,12,None,[],None,None
ENUM_HOST,2251.7012914615298,2251.796599410112,0.09530794858210356,42,1,408,12,None,[],network,HostTopologyShuffle
