name,start_time,finish_time,duration,current_host,current_host_uuid,compromise_host,compromise_host_uuid,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_users,interrupted_in,interrupted_by
SCAN_HOST,0.0,10.0,10.0,-1,-1,None,None,0,0,0,[],None,None
ENUM_HOST,10.0,25.0,15.0,-1,-1,None,None,0,0,0,[],None,None
SCAN_PORT,25.0,36.28310521115723,11.283105211157228,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,1,0,0,[],application,OSDiversity
SCAN_PORT,38.28310521115723,50.40794683063499,12.124841619477763,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,1,0,0,[],network,CompleteTopologyShuffle
SCAN_HOST,52.40794683063499,62.40794683063499,10.0,-1,-1,None,None,0,0,0,[],None,None
ENUM_HOST,62.40794683063499,77.40794683063498,14.999999999999993,-1,-1,None,None,0,0,0,[],None,None
SCAN_PORT,77.40794683063498,95.51247585083536,18.104529020200374,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,2,0,0,[],network,HostTopologyShuffle
SCAN_HOST,97.51247585083536,107.51247585083536,10.0,-1,-1,None,None,0,0,0,[],None,None
ENUM_HOST,107.51247585083536,122.51247585083536,15.0,-1,-1,None,None,0,0,0,[],None,None
SCAN_PORT,122.51247585083536,135.81167806523393,13.299202214398576,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,3,0,0,[],network,IPShuffle
SCAN_HOST,137.81167806523393,147.81167806523393,10.0,-1,-1,None,None,0,0,0,[],None,None
ENUM_HOST,147.81167806523393,162.81167806523393,15.0,-1,-1,None,None,0,0,0,[],None,None
SCAN_PORT,162.81167806523393,182.81167806523393,20.0,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,4,0,0,[],None,None
EXPLOIT_VULN,182.81167806523393,208.47368133685762,25.66200327162369,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,4,0,0,[],None,None
BRUTE_FORCE,208.47368133685762,223.47368133685762,15.0,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,4,42,0,[],None,None
ENUM_HOST,223.47368133685762,238.47368133685762,15.0,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,4,42,0,[],None,None
SCAN_PORT,238.47368133685762,250.51488917684821,12.04120783999059,1,3124b84f-67ab-42ce-a513-2e6d410f4916,None,None,1,42,0,[],network,CompleteTopologyShuffle
SCAN_HOST,252.51488917684821,262.5148891768482,10.0,-1,-1,None,None,0,42,0,[],None,None
ENUM_HOST,262.5148891768482,277.5148891768482,15.0,-1,-1,None,None,0,42,0,[],None,None
SCAN_PORT,277.5148891768482,295.6912264500681,18.176337273219872,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,5,42,0,[],network,HostTopologyShuffle
SCAN_HOST,297.6912264500681,307.6912264500681,10.0,-1,-1,None,None,0,42,0,[],None,None
ENUM_HOST,307.6912264500681,322.6912264500681,15.0,-1,-1,None,None,0,42,0,[],None,None
SCAN_PORT,322.6912264500681,335.79492721692964,13.10370076686155,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,6,42,0,[],network,IPShuffle
SCAN_HOST,337.79492721692964,347.79492721692964,10.0,-1,-1,None,None,0,42,0,[],None,None
ENUM_HOST,347.79492721692964,362.79492721692964,15.0,-1,-1,None,None,0,42,0,[],None,None
SCAN_PORT,362.79492721692964,382.79492721692964,20.0,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,7,42,0,[],None,None
EXPLOIT_VULN,382.79492721692964,408.88264647222087,26.087719255291233,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,7,42,0,"['Jori', 'Fancy', 'Jacquenette', 'Tiffie', 'Camilla']",None,None
SCAN_NEIGHBOR,408.88264647222087,418.88264647222087,10.0,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,7,88,1,[],None,None
ENUM_HOST,418.88264647222087,433.88264647222087,15.0,0,804a1e99-dedf-48eb-b896-6c83161a5e8b,None,None,7,88,1,[],None,None
SCAN_PORT,433.88264647222087,435.97680580943825,2.094159337217377,46,565a2666-36da-4c95-95a6-327b0920e93e,None,None,1,88,1,[],application,OSDiversity
SCAN_PORT,437.97680580943825,450.6610170472145,12.684211237776253,46,565a2666-36da-4c95-95a6-327b0920e93e,None,None,1,88,1,[],network,CompleteTopologyShuffle
SCAN_HOST,452.6610170472145,462.6610170472145,10.0,-1,-1,None,None,0,88,1,[],None,None
ENUM_HOST,462.6610170472145,477.6610170472145,15.0,-1,-1,None,None,0,88,1,[],None,None
SCAN_PORT,477.6610170472145,495.6632318667203,18.00221481950581,48,818bf591-46c0-421b-a6c5-e91d2f533290,None,None,1,88,1,[],network,HostTopologyShuffle
SCAN_HOST,497.6632318667203,507.6632318667203,10.0,-1,-1,None,None,0,88,1,[],None,None
ENUM_HOST,507.6632318667203,522.6632318667203,14.999999999999943,-1,-1,None,None,0,88,1,[],None,None
SCAN_PORT,522.6632318667203,536.2500847418121,13.586852875091836,48,818d2956-ce96-4bb8-aadf-ad4cc5b07e2a,None,None,2,88,1,[],network,IPShuffle
SCAN_HOST,538.2500847418121,548.2500847418121,10.0,-1,-1,None,None,0,88,1,[],None,None
ENUM_HOST,548.2500847418121,563.2500847418121,15.0,-1,-1,None,None,0,88,1,[],None,None
SCAN_PORT,563.2500847418121,583.2500847418121,20.0,48,818d2956-ce96-4bb8-aadf-ad4cc5b07e2a,None,None,3,88,1,[],None,None
EXPLOIT_VULN,583.2500847418121,609.5919728533556,26.34188811154354,48,818d2956-ce96-4bb8-aadf-ad4cc5b07e2a,48,818d2956-ce96-4bb8-aadf-ad4cc5b07e2a,3,88,1,"['Felice', 'Ailsun', 'Nicolette', 'Letitia']",None,None
SCAN_NEIGHBOR,609.5919728533556,619.5919728533556,10.0,48,818d2956-ce96-4bb8-aadf-ad4cc5b07e2a,None,None,3,115,2,[],None,None
ENUM_HOST,619.5919728533556,634.5919728533556,15.0,48,818d2956-ce96-4bb8-aadf-ad4cc5b07e2a,None,None,3,115,2,[],None,None
SCAN_PORT,634.5919728533556,637.0364286140735,2.444455760717915,75,c1e2e76d-e8ee-44d5-b172-f4de61f4b26c,None,None,1,115,2,[],application,OSDiversity
SCAN_PORT,639.0364286140735,651.2517551653862,12.215326551312614,75,c1e2e76d-e8ee-44d5-b172-f4de61f4b26c,None,None,1,115,2,[],network,CompleteTopologyShuffle
SCAN_HOST,653.2517551653862,663.2517551653862,10.0,-1,-1,None,None,0,115,2,[],None,None
ENUM_HOST,663.2517551653862,678.2517551653862,15.0,-1,-1,None,None,0,115,2,[],None,None
SCAN_PORT,678.2517551653862,696.3511069196989,18.099351754312693,53,d4aacc4e-0429-477c-9a70-fd2f9231f793,None,None,1,115,2,[],network,HostTopologyShuffle
SCAN_HOST,698.3511069196989,708.3511069196989,10.0,-1,-1,None,None,0,115,2,[],None,None
ENUM_HOST,708.3511069196989,723.3511069196989,15.0,-1,-1,None,None,0,115,2,[],None,None
SCAN_PORT,723.3511069196989,736.6469191269316,13.295812207232757,53,07f25aea-1e31-4bdd-997d-e00eaab5dc19,None,None,2,115,2,[],network,IPShuffle
SCAN_HOST,738.6469191269316,748.6469191269316,10.0,-1,-1,None,None,0,115,2,[],None,None
ENUM_HOST,748.6469191269316,763.6469191269316,15.0,-1,-1,None,None,0,115,2,[],None,None
SCAN_PORT,763.6469191269316,783.6469191269316,20.0,53,07f25aea-1e31-4bdd-997d-e00eaab5dc19,None,None,3,115,2,[],None,None
EXPLOIT_VULN,783.6469191269316,808.6997600447488,25.052840917817207,53,07f25aea-1e31-4bdd-997d-e00eaab5dc19,53,07f25aea-1e31-4bdd-997d-e00eaab5dc19,3,115,2,"['Margot', 'Juanita', 'Cristin', 'Corissa', 'Jaquelyn']",None,None
SCAN_NEIGHBOR,808.6997600447488,818.6997600447488,10.0,53,07f25aea-1e31-4bdd-997d-e00eaab5dc19,None,None,3,154,3,[],None,None
ENUM_HOST,818.6997600447488,833.6997600447488,15.0,53,07f25aea-1e31-4bdd-997d-e00eaab5dc19,None,None,3,154,3,[],None,None
SCAN_PORT,833.6997600447488,840.0811735152813,6.381413470532493,54,698bab3f-a896-491f-a645-bbd816908bc0,None,None,1,154,3,[],application,OSDiversity
SCAN_PORT,842.0811735152813,852.9955308126155,10.914357297334163,54,698bab3f-a896-491f-a645-bbd816908bc0,None,None,1,154,3,[],network,CompleteTopologyShuffle
SCAN_HOST,854.9955308126155,864.9955308126155,10.0,-1,-1,None,None,0,154,3,[],None,None
ENUM_HOST,864.9955308126155,879.9955308126155,15.0,-1,-1,None,None,0,154,3,[],None,None
SCAN_PORT,879.9955308126155,898.4238790974317,18.428348284816252,30,1f7dca47-4876-4ce3-8e40-5260b0821f40,None,None,1,154,3,[],network,HostTopologyShuffle
SCAN_HOST,900.4238790974317,910.4238790974317,10.0,-1,-1,None,None,0,154,3,[],None,None
ENUM_HOST,910.4238790974317,925.4238790974317,15.0,-1,-1,None,None,0,154,3,[],None,None
SCAN_PORT,925.4238790974317,938.6902132954295,13.266334197997821,48,0c812f6e-d741-4a96-8c25-5c14a19f14ae,None,None,4,154,3,[],network,IPShuffle
