name,start_time,finish_time,duration,current_host,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_host,compromise_users,interrupted_in,interrupted_by
SCAN_HOST,0.0,10.0,10.0,-1,0,0,0,None,[],None,None
ENUM_HOST,10.0,25.0,15.0,-1,0,0,0,None,[],None,None
SCAN_PORT,25.0,31.36157442618418,6.3615744261841805,0,1,0,0,None,[],application,osdiversity
SCAN_PORT,33.36157442618418,53.36157442618418,20.0,0,1,0,0,None,[],None,None
EXPLOIT_VULN,53.36157442618418,78.48939482140413,25.127820395219956,0,1,0,0,None,[],None,None
BRUTE_FORCE,78.48939482140413,81.14988025320363,2.6604854317995006,0,1,45,0,None,[],network,IPShuffle
SCAN_HOST,83.14988025320363,93.14988025320363,10.0,-1,0,45,0,None,[],None,None
ENUM_HOST,93.14988025320363,108.14988025320363,15.0,-1,0,45,0,None,[],None,None
SCAN_PORT,108.14988025320363,128.14988025320363,20.0,0,2,45,0,None,[],None,None
EXPLOIT_VULN,128.14988025320363,151.5821027080768,23.43222245487317,0,2,45,0,None,[],application,osdiversity
SCAN_PORT,153.5821027080768,173.5821027080768,20.0,0,2,45,0,None,[],None,None
EXPLOIT_VULN,173.5821027080768,200.06567191015904,26.483569202082236,0,2,45,0,0,"['Gwenore', 'Edeline', 'Bliss', 'Rosana', 'Ailsun']",None,None
SCAN_NEIGHBOR,200.06567191015904,210.06567191015904,10.0,0,2,90,1,None,[],None,None
ENUM_HOST,210.06567191015904,225.06567191015904,15.0,0,2,90,1,None,[],None,None
SCAN_PORT,225.06567191015904,245.06567191015904,20.0,22,1,90,1,None,[],None,None
EXPLOIT_VULN,245.06567191015904,261.97416276184344,16.908490851684405,22,1,90,1,None,[],network,IPShuffle
SCAN_HOST,263.97416276184344,273.97416276184344,10.0,-1,0,90,1,None,[],None,None
ENUM_HOST,273.97416276184344,288.97416276184344,15.0,-1,0,90,1,None,[],None,None
SCAN_PORT,288.97416276184344,308.97416276184344,20.0,22,2,90,1,None,[],None,None
EXPLOIT_VULN,308.97416276184344,334.17561524156787,25.201452479724423,22,2,90,1,None,[],None,None
BRUTE_FORCE,334.17561524156787,338.48952207844445,4.313906836876583,22,2,107,1,None,[],application,PortShuffle
SCAN_PORT,340.48952207844445,360.48952207844445,20.0,22,2,107,1,None,[],None,None
EXPLOIT_VULN,360.48952207844445,382.61739326362573,22.127871185181277,22,2,107,1,None,[],network,IPShuffle
SCAN_HOST,384.61739326362573,394.61739326362573,10.0,-1,0,107,1,None,[],None,None
ENUM_HOST,394.61739326362573,409.61739326362573,15.0,-1,0,107,1,None,[],None,None
SCAN_PORT,409.61739326362573,429.61739326362573,20.0,22,3,107,1,None,[],None,None
EXPLOIT_VULN,429.61739326362573,454.3173455091907,24.699952245564987,22,3,107,1,None,[],network,HostTopologyShuffle
SCAN_HOST,456.3173455091907,466.3173455091907,10.0,-1,0,107,1,None,[],None,None
ENUM_HOST,466.3173455091907,481.3173455091907,15.0,-1,0,107,1,None,[],None,None
SCAN_PORT,481.3173455091907,501.3173455091907,20.0,42,1,107,1,None,[],None,None
EXPLOIT_VULN,501.3173455091907,505.9229774573829,4.605631948192183,42,1,107,1,None,[],network,IPShuffle
SCAN_HOST,507.9229774573829,517.9229774573829,10.0,-1,0,107,1,None,[],None,None
ENUM_HOST,517.9229774573829,532.9229774573829,15.0,-1,0,107,1,None,[],None,None
SCAN_PORT,532.9229774573829,552.9229774573829,20.0,42,2,107,1,None,[],None,None
EXPLOIT_VULN,552.9229774573829,566.2702352842856,13.347257826902705,42,2,107,1,None,[],network,IPShuffle
SCAN_HOST,568.2702352842856,578.2702352842856,10.0,-1,0,107,1,None,[],None,None
ENUM_HOST,578.2702352842856,593.2702352842856,15.0,-1,0,107,1,None,[],None,None
SCAN_PORT,593.2702352842856,613.2702352842856,20.0,22,4,107,1,None,[],None,None
EXPLOIT_VULN,613.2702352842856,638.2715689039766,25.001333619690968,22,4,107,1,22,"['Minda', 'Dehlia', 'Monica', 'Sarajane', 'Herta']",None,None
SCAN_NEIGHBOR,638.2715689039766,648.2715689039766,10.0,22,4,120,2,None,[],None,None
ENUM_HOST,648.2715689039766,663.2715689039766,15.0,22,4,120,2,None,[],None,None
SCAN_PORT,663.2715689039766,669.3384837784735,6.066914874496888,21,1,120,2,None,[],application,osdiversity
SCAN_PORT,671.3384837784735,691.3384837784735,20.0,21,1,120,2,None,[],None,None
EXPLOIT_VULN,691.3384837784735,717.9210985466732,26.582614768199733,21,1,120,2,None,[],None,None
BRUTE_FORCE,717.9210985466732,731.388726066051,13.467627519377857,21,1,126,2,None,[],network,HostTopologyShuffle
SCAN_HOST,733.388726066051,743.388726066051,10.0,-1,0,126,2,None,[],None,None
ENUM_HOST,743.388726066051,758.388726066051,15.0,-1,0,126,2,None,[],None,None
SCAN_PORT,758.388726066051,778.388726066051,20.0,42,3,126,2,None,[],None,None
EXPLOIT_VULN,778.388726066051,792.7147858947669,14.32605982871587,42,3,126,2,None,[],network,HostTopologyShuffle
SCAN_HOST,794.7147858947669,804.7147858947669,10.0,-1,0,126,2,None,[],None,None
ENUM_HOST,804.7147858947669,819.7147858947669,15.0,-1,0,126,2,None,[],None,None
SCAN_PORT,819.7147858947669,839.7147858947669,20.0,22,5,126,2,None,[],None,None
EXPLOIT_VULN,839.7147858947669,866.4872744666469,26.77248857187999,22,5,126,2,None,[],None,None
BRUTE_FORCE,866.4872744666469,872.8201303642004,6.332855897553486,22,5,143,2,None,[],network,IPShuffle
SCAN_HOST,874.8201303642004,884.8201303642004,10.0,-1,0,143,2,None,[],None,None
ENUM_HOST,884.8201303642004,899.8201303642004,15.0,-1,0,143,2,None,[],None,None
SCAN_PORT,899.8201303642004,919.8201303642004,20.0,42,4,143,2,None,[],None,None
EXPLOIT_VULN,919.8201303642004,943.9382543465775,24.118123982377142,42,4,143,2,None,[],network,HostTopologyShuffle
SCAN_HOST,945.9382543465775,955.9382543465775,10.0,-1,0,143,2,None,[],None,None
ENUM_HOST,955.9382543465775,970.9382543465775,15.0,-1,0,143,2,None,[],None,None
SCAN_PORT,970.9382543465775,990.9382543465775,20.0,42,5,143,2,None,[],None,None
EXPLOIT_VULN,990.9382543465775,996.7409254214407,5.802671074863156,42,5,143,2,None,[],network,IPShuffle
SCAN_HOST,998.7409254214407,1008.7409254214407,10.0,-1,0,143,2,None,[],None,None
ENUM_HOST,1008.7409254214407,1023.7409254214407,15.0,-1,0,143,2,None,[],None,None
SCAN_PORT,1023.7409254214407,1043.7409254214408,20.000000000000114,42,6,143,2,None,[],None,None
EXPLOIT_VULN,1043.7409254214408,1057.4085176975532,13.667592276112373,42,6,143,2,None,[],network,IPShuffle
SCAN_HOST,1059.4085176975532,1069.4085176975532,10.0,-1,0,143,2,None,[],None,None
ENUM_HOST,1069.4085176975532,1084.4085176975532,15.0,-1,0,143,2,None,[],None,None
SCAN_PORT,1084.4085176975532,1104.4085176975532,20.0,42,7,143,2,None,[],None,None
EXPLOIT_VULN,1104.4085176975532,1127.607257523525,23.19873982597187,42,7,143,2,None,[],network,HostTopologyShuffle
SCAN_HOST,1129.607257523525,1139.607257523525,10.0,-1,0,143,2,None,[],None,None
ENUM_HOST,1139.607257523525,1154.607257523525,15.0,-1,0,143,2,None,[],None,None
SCAN_PORT,1154.607257523525,1158.4353479093645,3.8280903858394595,42,8,143,2,None,[],application,osdiversity
SCAN_PORT,1160.4353479093645,1180.4353479093645,20.0,42,8,143,2,None,[],None,None
EXPLOIT_VULN,1180.4353479093645,1205.7587765888431,25.32342867947864,42,8,143,2,42,"['Sybil', 'Adelice', 'Willabella', 'Sibbie']",None,None
SCAN_NEIGHBOR,1205.7587765888431,1215.7587765888431,10.0,42,8,160,3,None,[],None,None
ENUM_HOST,1215.7587765888431,1230.7587765888431,15.0,42,8,160,3,None,[],None,None
SCAN_PORT,1230.7587765888431,1250.7587765888431,20.0,88,1,160,3,None,[],None,None
EXPLOIT_VULN,1250.7587765888431,1270.521699885727,19.762923296883855,88,1,160,3,None,[],network,IPShuffle
SCAN_HOST,1272.521699885727,1282.521699885727,10.0,-1,0,160,3,None,[],None,None
ENUM_HOST,1282.521699885727,1297.521699885727,15.0,-1,0,160,3,None,[],None,None
SCAN_PORT,1297.521699885727,1317.521699885727,20.0,22,6,160,3,None,[],None,None
EXPLOIT_VULN,1317.521699885727,1331.477179156724,13.955479270997103,22,6,160,3,None,[],network,IPShuffle
SCAN_HOST,1333.477179156724,1343.477179156724,10.0,-1,0,160,3,None,[],None,None
ENUM_HOST,1343.477179156724,1358.477179156724,15.0,-1,0,160,3,None,[],None,None
SCAN_PORT,1358.477179156724,1378.477179156724,20.0,22,7,160,3,None,[],None,None
EXPLOIT_VULN,1378.477179156724,1403.9353821696852,25.45820301296112,22,7,160,3,22,"['Silvia', 'Seline', 'Nerte', 'Nadia']",None,None
SCAN_NEIGHBOR,1403.9353821696852,1413.9353821696852,10.0,22,7,198,4,None,[],None,None
ENUM_HOST,1413.9353821696852,1428.9353821696852,15.0,22,7,198,4,None,[],None,None
SCAN_PORT,1428.9353821696852,1448.9353821696852,20.0,24,1,198,4,None,[],None,None
EXPLOIT_VULN,1448.9353821696852,1468.7141943637935,19.77881219410824,24,1,198,4,None,[],application,PortShuffle
SCAN_PORT,1470.7141943637935,1490.7141943637935,20.0,24,1,198,4,None,[],None,None
EXPLOIT_VULN,1490.7141943637935,1516.0131274289251,25.298933065131678,24,1,198,4,24,"['Cristie', 'Alexia', 'Jaimie', 'Phebe']",None,None
SCAN_NEIGHBOR,1516.0131274289251,1526.0131274289251,10.0,24,1,221,5,None,[],None,None
ENUM_HOST,1526.0131274289251,1541.0131274289251,15.0,24,1,221,5,None,[],None,None
SCAN_PORT,1541.0131274289251,1561.0131274289251,20.0,20,1,221,5,None,[],None,None
EXPLOIT_VULN,1561.0131274289251,1585.5569168220375,24.54378939311232,20,1,221,5,None,[],network,HostTopologyShuffle
SCAN_HOST,1587.5569168220375,1597.5569168220375,10.0,-1,0,221,5,None,[],None,None
ENUM_HOST,1597.5569168220375,1612.5569168220375,15.0,-1,0,221,5,None,[],None,None
SCAN_PORT,1612.5569168220375,1632.5569168220375,20.0,22,8,221,5,None,[],None,None
EXPLOIT_VULN,1632.5569168220375,1650.702573293712,18.145656471674556,22,8,221,5,None,[],application,PortShuffle
SCAN_PORT,1652.702573293712,1672.702573293712,20.0,22,8,221,5,None,[],None,None
EXPLOIT_VULN,1672.702573293712,1697.7351125478565,25.032539254144467,22,8,221,5,22,"['Betteanne', 'Alyss', 'Krystle', 'Zia', 'Mercedes']",None,None
SCAN_NEIGHBOR,1697.7351125478565,1707.7351125478565,10.0,22,8,251,6,None,[],None,None
ENUM_HOST,1707.7351125478565,1722.7351125478565,15.0,22,8,251,6,None,[],None,None
ENUM_HOST,1722.7351125478565,1737.7351125478565,15.0,22,9,251,6,None,[],None,None
ENUM_HOST,1737.7351125478565,1752.7351125478565,15.0,22,10,251,6,None,[],None,None
SCAN_PORT,1752.7351125478565,1768.3429453929623,15.607832845105804,29,1,251,6,None,[],application,osdiversity
SCAN_PORT,1770.3429453929623,1790.3429453929623,20.0,29,1,251,6,None,[],None,None
EXPLOIT_VULN,1790.3429453929623,1815.4245882761509,25.08164288318858,29,1,251,6,29,"['Berget', 'Eden', 'Marleen', 'Jeane']",None,None
SCAN_NEIGHBOR,1815.4245882761509,1825.4245882761509,10.0,29,1,275,7,None,[],None,None
ENUM_HOST,1825.4245882761509,1840.4245882761509,15.0,29,1,275,7,None,[],None,None
SCAN_PORT,1840.4245882761509,1860.4245882761509,20.0,42,9,275,7,None,[],None,None
EXPLOIT_VULN,1860.4245882761509,1886.008972106605,25.584383830454044,42,9,275,7,42,"['Ashla', 'Filippa', 'Peggy', 'Bill', 'Meade']",None,None
SCAN_NEIGHBOR,1886.008972106605,1896.008972106605,10.0,42,9,279,8,None,[],None,None
ENUM_HOST,1896.008972106605,1911.008972106605,15.0,42,9,279,8,None,[],None,None
ENUM_HOST,1911.008972106605,1926.008972106605,15.0,22,11,279,8,None,[],None,None
SCAN_PORT,1926.008972106605,1946.008972106605,20.0,35,1,279,8,None,[],None,None
EXPLOIT_VULN,1946.008972106605,1950.1800247416643,4.171052635059368,35,1,279,8,None,[],network,HostTopologyShuffle
SCAN_HOST,1952.1800247416643,1962.1800247416643,10.0,-1,0,279,8,None,[],None,None
ENUM_HOST,1962.1800247416643,1977.1800247416643,15.0,-1,0,279,8,None,[],None,None
SCAN_PORT,1977.1800247416643,1997.1800247416643,20.0,20,2,279,8,None,[],None,None
