Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
NoMTD,0.1,100,25,0.0,0.4107142857142857,1220.3217538460187
NoMTD,0.2,100,25,0.0,0.5444444444444444,1536.9082275354228
NoMTD,0.3,100,25,0.0,0.6704545454545454,1696.4704413875395
NoMTD,0.4,100,25,0.0,0.6958333333333334,1943.7166796800338
NoMTD,0.5,100,25,0.0,0.7552083333333334,2127.8917652761425
NoMTD,0.6,100,25,0.0,0.7669172932330828,2365.995645264591
NoMTD,0.7,100,25,0.0,0.8115942028985506,2546.869990524272
NoMTD,0.8,100,25,0.0,0.8041025641025641,2759.0939448254794
CompleteTopologyShuffle,0.1,100,25,0.006834316578327927,0.19482600732600733,955.498659830147
CompleteTopologyShuffle,0.2,100,25,0.006834316578327927,0.2166083281509779,1797.640685209049
CompleteTopologyShuffle,0.3,100,25,0.006834316578327927,0.27329787662191307,2026.773663905097
CompleteTopologyShuffle,0.4,100,25,0.006834316578327927,0.2996128355648479,2362.318577068529
CompleteTopologyShuffle,0.5,100,25,0.006834316578327927,0.32564165045711896,2765.077358039531
CompleteTopologyShuffle,0.6,100,25,0.006834316578327927,0.3325493700538347,3195.8331100271575
CompleteTopologyShuffle,0.7,100,25,0.006834316578327927,0.3449118576644899,3604.6637417193388
CompleteTopologyShuffle,0.8,100,25,0.006834316578327927,0.35807646819896183,3907.0642450674372
IPShuffle,0.1,100,25,0.009965449676200961,0.1598412917491865,943.6705453829882
IPShuffle,0.2,100,25,0.009965449676200961,0.12951311810426058,2344.9261769645636
IPShuffle,0.3,100,25,0.009965449676200961,0.16540608288504793,2738.102143658572
IPShuffle,0.4,100,25,0.009965449676200961,0.18672033223049803,3123.8041336121128
IPShuffle,0.5,100,25,0.009965449676200961,0.18328758078396684,4030.758680791244
IPShuffle,0.6,100,25,0.009965449676200961,0.20053335903977665,4255.400768675415
IPShuffle,0.7,100,25,0.009965449676200961,0.20784963132153056,4848.326544350007
IPShuffle,0.8,100,25,0.009965449676200961,0.2187129285013294,5187.61816769761
OSDiversity,0.1,100,25,0.009980668284341743,0.1396771898552084,1258.9934392908772
OSDiversity,0.2,100,25,0.009980668284341743,0.1592484431904737,2091.7977376772083
OSDiversity,0.3,100,25,0.009980668284341743,0.20181562887412302,2461.9461322872644
OSDiversity,0.4,100,25,0.009980668284341743,0.21356463633363676,2935.383020433615
OSDiversity,0.5,100,25,0.009980668284341743,0.23963719669155076,3231.2228274150293
OSDiversity,0.6,100,25,0.009980668284341743,0.25330596587253196,3608.8916111523404
OSDiversity,0.7,100,25,0.009980668284341743,0.2693433962901355,3911.3586684391544
OSDiversity,0.8,100,25,0.009980668284341743,0.2689854945060484,4500.773801575716
ServiceDiversity,0.1,100,25,0.009996981894763082,0.14985847485847487,1207.0884299952204
ServiceDiversity,0.2,100,25,0.009996981894763082,0.15347372009083554,2110.01177817194
ServiceDiversity,0.3,100,25,0.009996981894763082,0.197673832909901,2426.3519153057596
ServiceDiversity,0.4,100,25,0.009996981894763082,0.20618042236684614,3095.259270639518
ServiceDiversity,0.5,100,25,0.009996981894763082,0.22862753457724255,3388.7315894259837
ServiceDiversity,0.6,100,25,0.009996981894763082,0.24088568497654075,3823.8890730367734
ServiceDiversity,0.7,100,25,0.009996981894763082,0.256718380987064,4172.332397685388
ServiceDiversity,0.8,100,25,0.009996981894763082,0.25998444342007576,4662.306147282906
