Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,Mean Time to Compromise (s)
NoMTD,0.1,100,30,850.5097652902617
NoMTD,0.2,100,30,1183.6380439960922
NoMTD,0.3,100,30,1402.7685403274188
NoMTD,0.4,100,30,1593.9289636866845
NoMTD,0.5,100,30,1817.102140377714
NoMTD,0.6,100,30,2046.7711791671027
NoMTD,0.7,100,30,2403.2644485562078
NoMTD,0.8,100,30,2620.9952204341635
NoMTD,0.1,100,50,1057.3024452640839
NoMTD,0.2,100,50,1547.1805178696827
NoMTD,0.3,100,50,2039.8482937904432
NoMTD,0.4,100,50,2552.4829536363445
NoMTD,0.5,100,50,2978.0455204121095
NoMTD,0.6,100,50,3352.2978320018046
NoMTD,0.7,100,50,3734.2291446652525
NoMTD,0.8,100,50,4081.4747995901753
NoMTD,0.1,100,70,1243.939120760893
NoMTD,0.2,100,70,1777.561402140287
NoMTD,0.3,100,70,2317.4483610037187
NoMTD,0.4,100,70,2889.9159713354866
NoMTD,0.5,100,70,3300.8219113434598
NoMTD,0.6,100,70,3705.698572810253
NoMTD,0.7,100,70,4183.546965886606
NoMTD,0.8,100,70,4725.240075049192
NoMTD,0.1,100,90,1503.1527136763143
NoMTD,0.2,100,90,2335.132149985637
NoMTD,0.3,100,90,2955.6717837492297
NoMTD,0.4,100,90,3426.1251542437867
NoMTD,0.5,100,90,3811.4261627529186
NoMTD,0.6,100,90,4208.565233160659
NoMTD,0.7,100,90,4548.783996298778
NoMTD,0.8,100,90,4980.991665632071
CompleteTopologyShuffle,0.1,100,30,809.3944588122765
CompleteTopologyShuffle,0.2,100,30,1307.0450933002596
CompleteTopologyShuffle,0.3,100,30,1936.014191505852
CompleteTopologyShuffle,0.4,100,30,2331.8173744972596
CompleteTopologyShuffle,0.5,100,30,2756.697658642209
CompleteTopologyShuffle,0.6,100,30,3373.0058617063332
CompleteTopologyShuffle,0.7,100,30,6007.323292448991
CompleteTopologyShuffle,0.8,100,30,8907.548255406926
CompleteTopologyShuffle,0.1,100,50,1212.2662784689633
CompleteTopologyShuffle,0.2,100,50,2066.4231886589528
CompleteTopologyShuffle,0.3,100,50,3200.1927853624393
CompleteTopologyShuffle,0.4,100,50,4264.7451769229865
CompleteTopologyShuffle,0.5,100,50,5471.172240796133
CompleteTopologyShuffle,0.6,100,50,12274.949059005912
CompleteTopologyShuffle,0.7,100,50,14594.662000946822
CompleteTopologyShuffle,0.8,100,50,15210.208451644945
CompleteTopologyShuffle,0.1,100,70,1505.7879409205727
CompleteTopologyShuffle,0.2,100,70,2770.012534046037
CompleteTopologyShuffle,0.3,100,70,3364.0312311010043
CompleteTopologyShuffle,0.4,100,70,4051.634844962145
CompleteTopologyShuffle,0.5,100,70,5034.417536817311
CompleteTopologyShuffle,0.6,100,70,6321.950210147301
CompleteTopologyShuffle,0.7,100,70,7589.6531116198075
CompleteTopologyShuffle,0.8,100,70,10925.402007119525
CompleteTopologyShuffle,0.1,100,90,2201.1925184355273
CompleteTopologyShuffle,0.2,100,90,3054.6632121267157
CompleteTopologyShuffle,0.3,100,90,3857.5098518317113
CompleteTopologyShuffle,0.4,100,90,4605.993120593033
CompleteTopologyShuffle,0.5,100,90,5033.787120710635
CompleteTopologyShuffle,0.6,100,90,5431.285187111091
CompleteTopologyShuffle,0.7,100,90,5741.34643616151
CompleteTopologyShuffle,0.8,100,90,6126.877666551244
IPShuffle,0.1,100,30,753.8481855835342
IPShuffle,0.2,100,30,1540.3548706661866
IPShuffle,0.3,100,30,2334.2068278667257
IPShuffle,0.4,100,30,2834.836736570588
IPShuffle,0.5,100,30,3473.520728125851
IPShuffle,0.6,100,30,4155.431557624657
IPShuffle,0.7,100,30,8318.2044385878
IPShuffle,0.8,100,30,13954.281423320397
IPShuffle,0.1,100,50,1497.9140115005373
IPShuffle,0.2,100,50,2362.160980237525
IPShuffle,0.3,100,50,4012.095495199979
IPShuffle,0.4,100,50,5514.890618523125
IPShuffle,0.5,100,50,7329.427795204507
IPShuffle,0.6,100,50,10868.382109543021
IPShuffle,0.7,100,50,11897.866460789735
IPShuffle,0.8,100,50,13126.219727706712
IPShuffle,0.1,100,70,1777.0901489766134
IPShuffle,0.2,100,70,2878.2452889686256
IPShuffle,0.3,100,70,3599.4705569814664
IPShuffle,0.4,100,70,4300.805834865794
IPShuffle,0.5,100,70,5440.59637379768
IPShuffle,0.6,100,70,7141.950303276894
IPShuffle,0.7,100,70,9230.681387283363
IPShuffle,0.8,100,70,13530.667421714554
IPShuffle,0.1,100,90,2267.8014945655223
IPShuffle,0.2,100,90,3274.792855075136
IPShuffle,0.3,100,90,4191.358383385237
IPShuffle,0.4,100,90,4968.355109911939
IPShuffle,0.5,100,90,5381.526561709918
IPShuffle,0.6,100,90,5750.709453377265
IPShuffle,0.7,100,90,6072.6224065423785
IPShuffle,0.8,100,90,6446.700800916011
OSDiversity,0.1,100,30,2517.3006608267424
OSDiversity,0.2,100,30,3569.273066341476
OSDiversity,0.3,100,30,4026.6263729295943
OSDiversity,0.4,100,30,4405.129127714293
OSDiversity,0.5,100,30,4683.081102931409
OSDiversity,0.6,100,30,5169.210569790553
OSDiversity,0.7,100,30,5737.4487273648465
OSDiversity,0.8,100,30,6207.555898015892
OSDiversity,0.1,100,50,1620.3090931941279
OSDiversity,0.2,100,50,2563.359710166012
OSDiversity,0.3,100,50,3455.5352541455313
OSDiversity,0.4,100,50,4159.200227899177
OSDiversity,0.5,100,50,4694.989876115274
OSDiversity,0.6,100,50,5186.819008678943
OSDiversity,0.7,100,50,5774.774007722461
OSDiversity,0.8,100,50,6249.340966821616
OSDiversity,0.1,100,70,1879.8171947646545
OSDiversity,0.2,100,70,2985.3696274707963
OSDiversity,0.3,100,70,3647.3074148516366
OSDiversity,0.4,100,70,4331.140171024797
OSDiversity,0.5,100,70,4947.732643931153
OSDiversity,0.6,100,70,5618.501825149807
OSDiversity,0.7,100,70,6304.842853639118
OSDiversity,0.8,100,70,7106.5595886504525
OSDiversity,0.1,100,90,3143.234782757813
OSDiversity,0.2,100,90,4202.792030576986
OSDiversity,0.3,100,90,5080.201507659634
OSDiversity,0.4,100,90,5672.399536004223
OSDiversity,0.5,100,90,6122.32768904669
OSDiversity,0.6,100,90,6600.288949419955
