Combined MTD Strategy,MTD Strategy A,Z Statistic A,Matches Combined Mean Distribution A,MTD Strategy B,Z Statistic B,Matches Combined Mean Distribution B
"OSShuffle,ServiceShuffle",OSShuffle,-1.1862390946213266,Nearly Identical,ServiceShuffle,-0.7685400074480406,Nearly Identical
"IPShuffle,PortShuffle",IPShuffle,-1.9962770450943719,Nearly Identical,PortShuffle,3.3651695547343485,Highly Significantly Different
"HostTopologyShuffle,IPShuffle",IPShuffle,-30.91742585042302,Highly Significantly Different,HostTopologyShuffle,6.413163225237603,Highly Significantly Different
"CompleteTopologyShuffle,PortShuffle",PortShuffle,-11.827270833106407,Highly Significantly Different,CompleteTopologyShuffle,-1.8065537690535671,Nearly Identical
"CompleteTopologyShuffle,HostTopologyShuffle",CompleteTopologyShuffle,-10.988049310812015,Highly Significantly Different,HostTopologyShuffle,1.834696346782584,Nearly Identical
"ServiceShuffle,UserShuffle",ServiceShuffle,-6.951237061621333,Highly Significantly Different,UserShuffle,-6.0932454589436365,Highly Significantly Different
"HostTopologyShuffle,UserShuffle",HostTopologyShuffle,-4.407447684343242,Highly Significantly Different,UserShuffle,-8.059639927298756,Highly Significantly Different
"IPShuffle,OSShuffle",IPShuffle,-15.689125200646581,Highly Significantly Different,OSShuffle,4.610187496284831,Highly Significantly Different
"IPShuffle,ServiceShuffle",IPShuffle,-18.575444358464825,Highly Significantly Different,ServiceShuffle,6.687145089894969,Highly Significantly Different
"PortShuffle,ServiceShuffle",PortShuffle,-10.50920344339401,Highly Significantly Different,ServiceShuffle,1.3465641735868705,Nearly Identical
"IPShuffle,UserShuffle",IPShuffle,-12.879933256162122,Highly Significantly Different,UserShuffle,2.4616907533031274,Marginally Different
"PortShuffle,UserShuffle",PortShuffle,-9.747770385280102,Highly Significantly Different,UserShuffle,0.8893708638444261,Nearly Identical
"OSShuffle,PortShuffle",PortShuffle,-7.659987778621658,Highly Significantly Different,OSShuffle,3.127942905753141,Highly Significantly Different
"CompleteTopologyShuffle,IPShuffle",IPShuffle,-21.590772605276186,Highly Significantly Different,CompleteTopologyShuffle,2.1363040485676983,Marginally Different
"HostTopologyShuffle,ServiceShuffle",HostTopologyShuffle,-4.307153937415499,Highly Significantly Different,ServiceShuffle,-9.877320347683801,Highly Significantly Different
"HostTopologyShuffle,OSShuffle",HostTopologyShuffle,-3.8010197511819537,Highly Significantly Different,OSShuffle,-9.479569621377992,Highly Significantly Different
"CompleteTopologyShuffle,OSShuffle",CompleteTopologyShuffle,-8.60220421417629,Highly Significantly Different,OSShuffle,-2.767561777707883,Significantly Different
"OSShuffle,UserShuffle",OSShuffle,-5.257303897487297,Highly Significantly Different,UserShuffle,-4.451512296392112,Highly Significantly Different
"CompleteTopologyShuffle,UserShuffle",CompleteTopologyShuffle,-9.36982714444204,Highly Significantly Different,UserShuffle,-4.003827285822099,Highly Significantly Different
"HostTopologyShuffle,PortShuffle",PortShuffle,-15.807504136195362,Highly Significantly Different,HostTopologyShuffle,4.405297997212787,Highly Significantly Different
"CompleteTopologyShuffle,ServiceShuffle",CompleteTopologyShuffle,-10.321362642556453,Highly Significantly Different,ServiceShuffle,-3.5733352214940886,Highly Significantly Different
